,Gender,12percentage,CollegeTier,Degree,Specialization,collegeGPA,CollegeState,Salary
251,1,87.0,2,0,15,74.1,0,300000
252,1,92.0,2,0,5,63.96,21,160000
253,0,58.0,2,0,13,70.0,23,145000
254,1,61.8,2,0,13,69.0,16,150000
255,1,62.0,2,0,4,75.0,23,145000
256,1,43.42,2,0,8,55.52,11,180000
257,1,86.46,1,0,16,85.8,18,730000
258,1,64.0,2,0,9,72.4,17,105000
259,1,94.6,2,0,5,80.6,21,305000
260,1,67.0,2,0,8,64.0,11,325000
261,1,79.2,2,0,4,70.14,7,180000
262,1,83.8,2,0,4,80.0,20,160000
263,0,94.6,2,0,15,80.02,0,210000
264,0,66.0,2,0,4,80.0,16,275000
265,1,73.8,1,0,3,63.88,4,150000
266,1,77.8,2,0,13,77.8,16,210000
267,1,81.0,1,0,8,81.0,23,180000
268,0,73.0,2,0,8,67.0,23,325000
269,0,94.6,2,0,8,78.15,21,360000
270,1,58.0,2,3,2,74.8,23,180000
271,1,63.0,2,0,13,66.0,7,160000
272,1,68.0,2,0,3,67.23,23,485000
273,1,91.0,1,0,4,75.7,21,350000
274,1,72.8,2,0,4,76.0,7,325000
275,1,92.6,2,0,4,69.43,0,370000
276,1,70.0,2,0,8,71.3,23,350000
277,1,80.4,1,0,4,71.0,8,320000
278,1,64.6,2,0,8,65.6,7,225000
279,1,61.8,2,0,13,62.2,23,200000
280,0,93.3,2,0,8,74.42,21,180000
281,1,95.0,2,0,13,70.0,23,400000
282,1,72.0,2,0,8,68.75,11,500000
283,1,76.6,1,0,8,67.0,23,325000
284,1,74.0,2,0,3,76.26,23,260000
285,0,68.0,2,0,4,71.0,23,205000
286,1,89.6,2,0,3,73.5,23,760000
287,1,85.0,2,0,8,73.0,20,180000
288,1,95.2,2,0,8,76.2,0,310000
289,1,86.54,2,0,8,78.4,22,150000
290,0,68.0,2,0,3,67.84,23,180000
291,0,95.5,1,0,8,79.96,21,195000
292,1,73.4,2,0,13,71.06,23,370000
293,1,70.8,2,0,4,75.0,13,240000
294,0,71.8,2,0,14,86.3,16,335000
295,1,76.0,2,0,15,80.6,3,110000
296,1,74.6,2,0,13,76.75,2,150000
297,1,73.2,2,0,8,67.46,0,200000
298,1,62.2,2,0,13,75.6,7,480000
300,1,80.0,1,3,2,81.6,4,210000
301,1,58.92,2,0,13,64.0,18,135000
302,1,50.0,2,0,13,60.0,11,225000
303,1,74.4,2,0,4,66.24,23,360000
304,1,68.3,2,0,8,63.0,13,95000
305,1,49.0,2,0,3,65.0,16,240000
306,0,64.0,2,0,4,72.0,7,200000
307,1,70.66,2,0,3,61.29,11,460000
308,1,55.0,2,0,4,63.0,7,205000
309,0,75.5,2,0,13,73.81,11,350000
310,1,77.2,2,0,9,79.6,23,170000
311,1,68.69,2,0,4,82.5,16,215000
312,1,52.0,2,0,15,55.0,23,100000
313,1,61.0,2,0,3,72.0,23,300000
314,0,61.92,2,0,9,74.83,11,100000
315,1,72.0,2,0,4,83.8,25,300000
316,1,82.0,1,0,8,74.0,4,500000
317,0,95.0,2,0,8,83.0,21,235000
318,0,69.4,2,3,2,65.0,17,370000
319,1,63.0,2,0,13,67.0,22,350000
320,1,70.08,2,0,15,56.8,14,120000
321,1,84.33,2,0,7,60.0,14,145000
322,1,61.0,2,0,4,71.0,23,325000
323,0,98.2,2,0,8,82.47,21,360000
324,1,69.3,2,0,4,65.4,23,180000
325,1,50.0,2,0,10,61.0,23,110000
326,1,71.8,2,0,4,72.31,13,300000
327,1,64.3,2,0,8,73.5,13,120000
328,1,61.0,2,0,4,71.0,23,150000
329,1,81.0,2,0,8,64.0,7,180000
330,1,88.0,2,0,15,77.75,23,310000
331,0,89.0,2,0,4,73.0,11,350000
332,1,56.0,2,0,15,63.0,23,180000
333,0,84.0,2,0,13,72.48,23,350000
334,1,96.0,2,0,15,84.9,0,325000
335,0,83.2,2,0,5,88.1,25,370000
336,1,66.17,2,0,15,63.6,14,220000
337,1,82.2,2,0,13,67.58,16,420000
338,1,67.4,2,0,9,72.0,23,420000
339,1,68.5,2,0,16,61.5,16,275000
340,1,85.6,2,0,13,90.1,21,355000
341,1,75.0,2,0,5,64.0,16,400000
342,0,64.4,2,0,4,70.68,23,200000
343,1,59.6,2,0,13,80.68,24,275000
344,1,79.0,2,0,13,75.64,18,450000
345,1,55.0,2,0,3,68.0,18,550000
346,1,90.1,2,0,4,78.0,0,180000
347,1,80.25,2,0,4,67.4,23,315000
348,1,70.1,2,0,4,64.0,7,220000
349,1,66.46,2,0,4,60.0,18,120000
350,1,73.0,2,0,13,67.25,23,110000
351,1,80.6,2,0,8,72.04,23,240000
352,0,87.2,2,0,4,78.12,24,300000
353,0,85.66,2,0,3,80.0,20,700000
354,0,87.2,1,0,8,71.0,23,300000
355,1,92.75,2,0,9,79.95,20,300000
356,1,81.2,2,0,4,71.26,23,560000
357,0,69.0,2,0,12,65.2,11,200000
358,1,96.1,2,0,8,78.0,0,390000
359,1,61.0,2,3,2,68.23,9,420000
360,1,76.8,2,0,8,68.0,6,310000
361,1,60.8,2,0,4,68.0,14,120000
362,1,81.2,1,0,8,74.64,4,325000
363,0,78.4,2,3,2,71.25,25,120000
364,0,85.0,2,0,13,76.0,13,200000
365,1,82.6,2,0,3,82.17,17,475000
366,1,95.65,2,0,3,70.1,20,375000
367,1,66.0,2,0,8,60.0,24,200000
368,1,62.0,2,0,8,75.0,23,260000
369,0,90.8,1,0,13,76.04,4,380000
370,1,75.91,2,0,13,73.5,20,180000
371,1,69.0,2,0,8,64.28,23,200000
372,1,90.7,2,0,8,82.23,21,325000
373,1,51.0,2,3,2,74.0,20,180000
374,0,79.83,2,3,2,89.0,20,500000
375,0,91.4,2,0,4,70.5,21,320000
376,0,89.9,2,0,3,82.27,7,325000
377,1,67.8,2,0,4,78.0,23,275000
378,1,90.6,2,0,8,72.6,0,180000
379,1,77.16,2,0,9,79.3,11,445000
380,1,81.0,1,0,8,76.5,4,325000
381,1,65.0,2,0,8,59.8,23,180000
382,1,73.2,2,0,8,66.96,18,510000
383,1,75.2,1,0,5,67.7,17,415000
384,0,89.0,2,0,13,78.0,21,420000
385,1,82.0,1,0,10,72.0,16,330000
386,1,95.8,2,0,4,72.45,21,325000
387,1,65.0,2,0,4,75.0,23,185000
388,1,91.0,2,0,13,80.0,20,290000
389,0,74.45,2,0,13,80.0,2,190000
390,0,87.9,2,0,13,72.3,21,300000
391,1,66.0,2,0,15,57.0,14,110000
392,1,64.0,2,0,15,65.0,23,435000
393,1,90.0,2,0,8,78.0,21,300000
394,1,74.8,2,0,4,73.8,17,350000
395,1,59.4,2,0,8,67.46,23,255000
396,1,74.16,2,0,13,73.1,20,210000
397,1,67.2,2,0,9,66.85,11,155000
398,1,66.0,2,0,8,64.0,23,400000
399,1,60.33,2,0,8,71.3,14,60000
400,1,91.58,2,0,8,78.5,20,105000
401,1,65.0,2,0,4,65.3,20,185000
402,0,60.0,2,0,3,69.0,24,200000
403,1,84.4,2,0,4,71.18,23,315000
404,0,55.0,2,0,13,63.47,0,105000
405,1,67.67,2,0,13,67.75,11,425000
406,1,62.6,2,0,13,62.81,18,220000
407,1,70.0,2,0,4,69.9,23,115000
408,1,60.0,2,0,4,67.0,23,300000
409,1,83.0,2,0,8,66.4,12,260000
410,0,79.9,2,0,13,61.89,14,105000
411,1,56.6,2,0,13,71.18,13,150000
412,0,80.6,2,0,8,74.3,23,280000
413,1,81.0,2,0,4,78.0,17,300000
414,1,61.23,2,0,5,66.66,23,150000
415,1,72.0,2,0,4,71.0,23,135000
416,0,68.3,2,0,13,74.2,20,200000
417,1,76.7,2,0,4,68.0,0,120000
418,1,84.0,1,0,8,75.0,23,300000
419,1,74.96,2,0,3,72.6,11,500000
420,1,94.0,2,0,4,75.0,0,500000
421,1,61.0,2,0,3,77.8,25,375000
422,1,92.2,1,0,4,77.6,18,450000
423,0,60.5,2,0,4,67.04,11,150000
424,1,71.0,2,0,4,69.62,24,400000
425,0,64.0,2,0,13,72.32,21,120000
426,1,62.4,2,0,8,67.0,23,160000
427,0,64.4,2,0,8,71.34,23,400000
428,0,90.0,2,0,4,76.29,0,300000
429,0,71.0,2,0,4,79.0,17,300000
430,1,56.0,2,3,2,62.0,23,200000
431,1,70.0,2,0,15,60.13,11,220000
432,1,53.16,2,3,2,72.0,17,310000
433,1,72.4,2,0,8,82.48,20,400000
434,1,78.0,2,0,0,77.8,20,325000
435,1,95.1,2,0,15,80.91,0,345000
436,1,68.0,2,0,9,63.69,11,160000
437,1,40.0,2,3,2,67.2,0,300000
438,1,94.1,2,0,8,66.02,21,240000
439,1,58.2,2,0,14,63.2,16,305000
440,1,67.5,2,0,4,72.98,11,300000
441,1,81.4,1,0,15,97.3,17,500000
442,0,91.0,2,0,8,74.0,21,350000
443,1,89.4,1,0,4,83.7,23,2000000
444,1,64.2,2,0,9,71.0,23,220000
445,0,80.0,2,3,2,78.0,21,340000
446,1,66.2,2,0,13,70.59,13,100000
447,1,73.2,2,0,1,78.3,13,180000
448,1,56.2,2,0,11,65.9,23,180000
449,1,81.0,2,0,3,67.3,23,475000
450,1,66.0,2,0,12,66.0,11,245000
451,1,66.0,2,0,6,62.0,25,215000
452,1,68.6,2,0,13,66.52,23,505000
453,1,73.0,2,0,13,65.0,7,145000
454,0,73.2,2,0,4,76.36,23,350000
455,0,60.0,2,0,8,68.0,23,150000
456,1,73.0,2,0,8,71.5,23,420000
457,0,64.0,2,0,13,81.0,20,145000
458,1,69.0,2,0,5,71.7,17,400000
459,1,92.5,2,0,4,88.3,25,340000
460,1,70.0,2,0,5,76.0,25,115000
461,1,80.0,2,0,4,64.97,21,200000
462,1,80.0,2,0,15,64.16,12,95000
463,1,75.6,2,0,4,65.3,23,280000
464,1,67.4,2,0,4,66.0,18,300000
465,1,86.0,2,0,6,71.7,25,110000
466,1,72.66,2,0,4,64.8,11,320000
467,1,80.0,2,0,3,77.4,20,300000
468,1,71.0,2,0,4,74.0,25,95000
469,0,68.8,2,0,3,69.0,7,180000
470,0,61.0,2,0,13,57.83,14,300000
471,1,66.66,2,0,4,64.06,24,180000
472,0,70.0,2,0,4,71.0,20,210000
473,1,89.4,2,0,9,75.4,10,325000
474,1,87.2,2,0,16,77.26,23,120000
475,1,78.5,2,0,8,67.0,21,120000
476,1,66.66,2,0,5,65.02,23,385000
477,1,56.0,2,0,16,68.56,11,480000
478,0,93.0,2,0,3,70.8,21,495000
479,1,81.0,2,0,8,78.0,17,300000
480,1,63.0,2,0,4,63.2,23,300000
481,1,81.2,2,0,13,67.0,0,205000
482,0,95.08,2,0,8,87.1,20,100000
483,0,64.0,2,0,4,65.0,18,300000
484,1,60.0,2,0,7,58.67,14,275000
485,0,60.0,2,0,6,65.6,23,425000
486,1,89.6,2,0,13,65.15,0,180000
487,1,75.6,2,0,8,79.0,4,330000
488,1,82.0,2,0,4,70.0,21,360000
489,1,85.5,2,0,8,65.21,0,250000
490,0,70.0,2,0,4,77.6,21,305000
491,0,96.0,2,0,13,74.39,0,410000
492,1,71.6,2,0,4,66.32,23,220000
493,1,60.2,2,0,7,70.0,23,45000
494,1,60.4,2,0,4,76.0,25,335000
495,0,66.4,1,0,13,71.0,4,325000
496,1,58.0,2,0,3,57.04,14,95000
497,1,84.33,2,2,16,70.13,11,565000
498,1,67.0,2,3,2,78.0,21,660000
499,1,91.4,1,0,15,84.0,1,450000
500,1,73.0,2,0,3,66.6,23,395000
501,1,73.6,2,0,4,66.5,23,100000
502,0,69.4,2,0,13,73.64,23,300000
503,1,75.0,2,0,15,61.8,11,300000
504,1,89.6,1,0,4,79.0,2,550000
505,1,78.0,2,0,8,68.0,11,325000
506,0,71.0,2,3,2,75.88,4,100000
507,1,74.0,2,0,8,75.5,23,330000
508,1,79.0,2,0,3,70.0,23,310000
509,1,83.33,2,0,3,70.56,14,355000
510,1,66.8,2,0,13,76.8,25,340000
511,1,68.6,2,0,3,80.02,25,70000
512,1,77.2,2,0,14,71.0,23,440000
513,1,89.0,2,0,8,82.0,11,400000
514,1,74.83,2,0,9,73.9,16,345000
515,1,70.0,2,0,14,61.7,23,400000
516,1,61.5,2,0,13,69.8,20,120000
517,1,65.2,2,0,4,69.1,13,110000
518,1,60.2,2,0,13,78.78,13,400000
519,1,68.0,2,0,13,71.6,23,565000
520,1,92.7,2,0,8,72.0,21,360000
521,1,79.0,2,0,4,75.16,23,305000
522,1,74.2,2,0,10,67.86,23,275000
523,1,80.2,2,0,13,71.59,4,500000
524,1,82.5,2,0,4,77.12,21,300000
525,1,94.9,2,0,15,78.25,20,100000
526,1,93.9,2,0,8,74.13,21,275000
527,1,74.4,2,0,10,66.0,24,275000
528,1,71.0,2,0,4,68.0,25,290000
529,1,68.0,2,0,4,74.0,11,300000
530,1,78.0,2,0,7,73.72,13,340000
531,0,71.0,2,0,3,78.8,23,145000
532,1,64.0,2,0,13,61.17,6,250000
533,1,64.0,2,0,13,76.0,23,215000
534,1,68.0,2,0,3,69.15,7,180000
535,1,67.74,2,0,7,72.22,14,350000
536,1,83.0,1,0,4,77.0,4,550000
537,1,82.6,2,0,13,60.45,0,295000
538,1,55.0,2,0,4,66.31,11,320000
539,1,63.0,2,0,13,62.4,14,105000
540,0,56.8,2,0,8,72.8,25,80000
541,0,80.0,2,0,13,70.0,18,470000
542,0,91.2,2,0,3,72.0,0,155000
543,1,68.0,2,0,4,69.0,23,180000
544,1,77.8,2,0,3,72.0,23,180000
545,1,71.0,2,0,3,59.6,14,315000
546,1,74.0,2,0,4,82.0,25,300000
547,1,61.0,1,2,4,72.0,17,360000
548,0,73.0,2,0,9,65.0,16,80000
549,1,68.0,2,0,15,69.7,24,180000
550,0,78.0,2,0,3,66.11,11,335000
551,1,70.0,2,0,13,62.0,7,300000
552,1,60.8,2,3,2,67.0,24,80000
553,1,78.67,2,0,8,75.84,11,300000
554,1,71.67,2,0,12,74.55,11,180000
555,1,69.4,2,0,8,78.0,25,300000
556,1,54.08,2,0,8,61.28,23,200000
557,1,73.0,2,0,13,75.0,16,325000
558,1,66.4,2,0,8,66.0,24,370000
559,1,83.6,2,0,4,76.2,23,350000
560,0,65.0,2,0,13,74.0,16,500000
561,1,63.4,2,0,8,65.88,23,200000
562,1,59.11,2,0,13,82.1,25,335000
563,1,90.1,2,0,8,76.56,21,410000
564,1,87.0,2,0,9,67.77,10,450000
565,0,48.34,2,0,13,66.34,18,200000
566,1,60.6,2,0,4,62.9,11,120000
567,0,79.8,2,0,8,75.15,13,105000
568,1,77.0,2,0,8,66.0,23,240000
569,1,82.4,2,0,8,69.4,21,120000
570,1,84.5,2,0,16,72.3,23,300000
571,1,70.0,2,0,4,65.0,18,315000
572,1,81.4,2,0,3,69.68,13,180000
573,0,95.0,2,0,4,83.66,21,300000
574,1,70.0,2,0,8,71.0,23,420000
575,0,75.2,2,0,13,76.6,17,35000
576,1,92.5,2,0,4,87.9,0,300000
577,0,76.33,2,0,13,63.0,14,400000
578,1,92.0,2,0,8,72.0,0,320000
579,1,88.0,2,0,8,75.02,21,270000
580,0,86.8,2,0,5,90.3,16,350000
581,1,57.8,2,3,2,75.89,11,200000
582,1,69.6,2,0,3,72.0,18,2600000
583,1,50.0,2,0,13,65.0,3,145000
584,1,71.08,2,0,4,65.68,18,210000
585,1,53.0,2,3,2,70.0,24,180000
586,1,68.5,2,0,8,69.0,8,300000
587,1,72.0,2,0,8,67.8,11,405000
588,0,87.83,2,0,13,74.0,4,100000
589,1,60.4,2,0,15,72.8,21,200000
590,1,67.0,2,0,8,80.07,17,200000
591,0,76.0,2,0,13,72.14,23,110000
592,1,57.5,2,0,15,70.0,11,120000
593,0,70.0,2,0,4,73.0,20,1025000
594,1,83.0,2,0,4,81.0,25,240000
595,1,91.0,2,0,16,79.0,12,400000
596,1,63.7,2,0,1,75.22,23,180000
597,0,62.2,2,3,2,77.0,23,200000
598,1,79.6,1,0,13,70.12,4,340000
599,1,73.0,1,0,13,71.0,23,350000
600,1,59.0,2,0,4,59.0,23,105000
601,1,59.0,2,0,8,65.6,20,480000
602,1,82.8,2,0,4,74.8,24,200000
603,0,67.68,2,0,8,75.0,11,200000
604,1,64.0,2,0,4,68.0,18,210000
